date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:38:17	23159/23159	---MCZ	200	added ('OK')	text/html	etag:W/%22657400ab-5a77%22	https://html.dynamiclayers.net/dl/ridek/contact.html	C:/Users/YCode/Desktop/template/imane/html.dynamiclayers.net/dl/ridek/contact.html	(from )
21:38:17	296/296	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jan%202024%2009:55:17%20GMT	https://html.dynamiclayers.net/robots.txt		(from )
21:38:18	16406/16406	---M--	200	added ('OK')	image/png	etag:%22657400e0-4016%22	https://html.dynamiclayers.net/dl/ridek/assets/img/favicon.png	C:/Users/YCode/Desktop/template/imane/html.dynamiclayers.net/dl/ridek/assets/img/favicon.png	(from https://html.dynamiclayers.net/dl/ridek/contact.html)
21:38:18	155799/155799	---MCZ	200	added ('OK')	text/css	etag:W/%22657400df-26097%22	https://html.dynamiclayers.net/dl/ridek/assets/css/bootstrap.min.css	C:/Users/YCode/Desktop/template/imane/html.dynamiclayers.net/dl/ridek/assets/css/bootstrap.min.css	(from https://html.dynamiclayers.net/dl/ridek/contact.html)
21:38:19	59203/59203	---MCZ	200	added ('OK')	text/css	etag:W/%22657400df-e743%22	https://html.dynamiclayers.net/dl/ridek/assets/css/animate.min.css	C:/Users/YCode/Desktop/template/imane/html.dynamiclayers.net/dl/ridek/assets/css/animate.min.css	(from https://html.dynamiclayers.net/dl/ridek/contact.html)
21:38:19	55057/55057	---MCZ	200	added ('OK')	text/css	etag:W/%22657400df-d711%22	https://html.dynamiclayers.net/dl/ridek/assets/css/fontawesome.min.css	C:/Users/YCode/Desktop/template/imane/html.dynamiclayers.net/dl/ridek/assets/css/fontawesome.min.css	(from https://html.dynamiclayers.net/dl/ridek/contact.html)
21:38:19	89729/89729	---MCZ	200	added ('OK')	text/css	etag:W/%22657400df-15e81%22	https://html.dynamiclayers.net/dl/ridek/assets/css/line-awesome.min.css	C:/Users/YCode/Desktop/template/imane/html.dynamiclayers.net/dl/ridek/assets/css/line-awesome.min.css	(from https://html.dynamiclayers.net/dl/ridek/contact.html)
21:38:19	11019/11019	---MCZ	200	added ('OK')	text/css	etag:W/%22657400df-2b0b%22	https://html.dynamiclayers.net/dl/ridek/assets/css/keyframe-animation.css	C:/Users/YCode/Desktop/template/imane/html.dynamiclayers.net/dl/ridek/assets/css/keyframe-animation.css	(from https://html.dynamiclayers.net/dl/ridek/contact.html)
21:38:20	16503/16503	---MCZ	200	added ('OK')	text/css	etag:W/%22657400df-4077%22	https://html.dynamiclayers.net/dl/ridek/assets/css/jquery.datetimepicker.min.css	C:/Users/YCode/Desktop/template/imane/html.dynamiclayers.net/dl/ridek/assets/css/jquery.datetimepicker.min.css	(from https://html.dynamiclayers.net/dl/ridek/contact.html)
21:38:20	3070/3070	---MCZ	200	added ('OK')	text/css	etag:W/%22657400df-bfe%22	https://html.dynamiclayers.net/dl/ridek/assets/css/nice-select.css	C:/Users/YCode/Desktop/template/imane/html.dynamiclayers.net/dl/ridek/assets/css/nice-select.css	(from https://html.dynamiclayers.net/dl/ridek/contact.html)
